0,-2.12,0.49,2.09,-0.45,0.15,0.13,11.01,22.21,-3.41
1,-2.08,0.50,2.09,-0.45,0.15,0.14,11.01,22.21,-3.70
2,-2.06,0.35,2.14,-0.45,0.15,0.14,11.01,22.51,-4.29
3,-1.98,0.47,2.02,-0.45,0.15,0.13,10.72,22.80,-3.99
4,-2.07,0.47,2.03,-0.45,0.15,0.13,11.01,22.21,-3.70
5,-2.12,0.51,1.97,-0.45,0.16,0.13,11.01,22.51,-3.41
6,-2.08,0.43,2.11,-0.45,0.15,0.14,10.43,21.92,-3.70
7,-2.06,0.46,2.05,-0.45,0.15,0.14,11.30,22.80,-4.29
8,-2.05,0.43,2.15,-0.45,0.15,0.13,11.30,22.80,-3.41
9,-2.08,0.60,1.92,-0.45,0.16,0.13,11.01,21.92,-3.99
10,-2.08,0.53,2.09,-0.43,0.15,0.12,10.72,22.80,-3.70
11,-2.05,0.41,2.03,-0.45,0.16,0.13,11.01,22.21,-3.70
12,-2.98,2.34,2.07,-0.44,0.14,0.14,11.01,22.51,-3.99
13,-40.52,-56.05,48.77,-0.51,0.55,0.02,-5.10,23.39,-5.46
14,-221.29,-95.63,-153.17,-0.30,0.67,0.57,0.17,15.48,6.85
15,-0.05,-108.76,-13.44,-0.05,-0.03,1.19,3.69,3.76,12.41
16,16.30,-3.40,19.21,0.30,0.29,1.03,6.62,-2.39,9.78
17,-8.67,-76.77,36.13,0.65,0.15,1.15,11.89,-2.69,2.45
18,-5.09,84.01,16.11,0.38,0.16,1.05,14.23,-3.57,-2.82
19,-7.08,-122.58,8.20,0.63,0.29,1.29,13.65,-2.39,-4.58
20,8.20,-92.70,-72.04,0.90,0.32,0.89,8.67,-2.39,-6.34
21,-122.22,-250.00,-202.50,1.91,0.37,0.62,1.64,-3.27,-12.78
22,249.99,-130.19,46.97,1.50,0.74,-0.35,3.39,-2.10,-13.95
23,60.33,89.13,135.80,1.53,0.50,-0.58,8.08,-0.34,-11.90
24,-50.35,-31.44,-108.40,1.18,0.33,-0.36,8.38,-0.34,-10.44
25,81.39,-87.54,-0.76,1.38,0.34,-0.62,7.50,1.41,-12.20
26,-51.71,-88.82,0.96,0.87,0.12,-0.62,6.32,5.52,-13.37
27,-46.45,-51.32,-9.67,0.25,0.40,-0.70,5.15,10.79,-11.02
28,-6.66,-8.84,-4.89,0.21,0.49,-0.65,4.57,10.79,-10.44
29,-28.53,-11.47,-1.37,0.24,0.55,-0.66,4.27,10.50,-9.27
30,0.87,-13.08,-56.34,-0.14,0.64,-0.48,5.45,10.79,-8.68
31,-63.03,-29.64,32.45,-0.19,0.57,0.06,7.79,9.32,-3.11
32,-26.74,-16.04,-99.27,-0.51,0.58,-0.08,6.91,4.64,-7.21
33,-6.81,12.77,-193.24,-0.35,0.76,-0.03,4.27,0.54,-11.02
34,-39.86,28.62,-61.35,-0.53,0.49,0.06,5.15,0.54,-11.02
35,113.38,-63.16,-250.00,-0.48,0.24,-0.02,5.45,-0.93,-9.56
36,32.82,-84.79,-137.33,0.04,-0.90,0.21,4.27,-2.39,-10.44
37,-250.00,102.20,-250.00,-0.29,-0.98,1.98,5.15,1.12,-11.90
38,-62.05,102.94,12.69,0.41,-0.63,1.05,6.03,6.69,-6.34
39,23.05,-250.00,39.86,0.27,-0.50,1.28,3.69,8.74,0.99
40,-53.02,-166.50,18.81,0.11,-0.06,1.08,9.55,6.69,7.43
41,75.12,-65.95,-14.06,0.45,-0.03,1.26,8.38,4.34,13.00
42,55.15,-9.64,-78.29,0.57,0.43,0.99,-2.17,-1.22,15.34
43,2.49,2.11,-120.12,0.78,0.50,0.97,-1.29,-2.10,12.12
44,-139.66,96.82,-182.29,0.56,0.19,1.60,7.50,1.41,14.46
45,-13.28,-47.31,90.82,0.48,0.31,1.10,14.53,3.46,1.87
46,-12.23,7.54,-12.41,0.09,0.00,1.13,11.60,4.64,-0.48
47,12.60,2.31,5.77,0.11,0.11,1.09,11.89,4.93,-0.77
48,2.43,-0.93,7.95,0.18,0.13,1.05,11.60,4.64,-1.36
49,2.54,3.83,-0.90,0.13,0.12,1.05,12.48,4.64,-1.36
50,-7.75,-2.53,10.28,0.16,0.07,1.16,12.48,4.05,-1.94
51,-1.63,-1.22,-4.12,0.13,0.12,1.13,13.06,4.34,-2.23
52,-2.08,2.56,-4.39,0.17,0.11,1.09,13.94,3.46,-1.36
53,1.35,-0.23,8.80,0.15,0.12,1.06,13.65,4.05,-1.36
54,-5.29,1.30,-4.00,0.13,0.10,1.09,14.23,3.76,-1.94
55,-0.72,2.46,-1.08,0.12,0.10,1.10,14.53,3.46,-1.36
56,-0.07,0.70,2.40,0.14,0.09,1.11,15.11,3.76,-1.06
57,0.19,0.53,-0.98,0.12,0.10,1.12,14.23,4.05,-1.06
58,-8.96,-1.43,3.55,0.14,0.07,1.13,14.23,3.46,-1.06
59,0.31,0.71,6.58,0.16,0.12,1.08,14.23,3.17,-1.65
60,-3.75,1.35,-1.46,0.13,0.11,1.12,14.53,3.17,-1.36
61,1.69,-0.17,1.33,0.12,0.13,1.07,14.82,3.46,-1.65
